show,year,rating,imdb,rotten_tomatoes
42,Foster's Home for Imaginary Friends,2004,7+,7.6,N/A
43,Good Trouble,2019,16+,7.4,N/A
44,National Treasure,2016,16+,7.4,91%
45,Time After Time,2017,16+,6.7,67%
46,Brickleberry,2012,18+,7.4,N/A
47,The Familiar of Zero,2006,16+,7.1,N/A
48,Prisoners of War,2010,N/A,8.4,100%
49,Kenichi The Mightiest Disciple,2006,16+,8.2,N/A
0,The Conners,2018,7+,5.3,89%
1,I'm Dying Up Here,2017,18+,7.4,51%
2,Adam-12,1968,7+,7.5,N/A
3,The Powerpuff Girls,1998,7+,7.2,N/A
4,Expedition Unknown,2015,7+,8.2,N/A
5,Wings,1990,7+,7.2,N/A
6,The Tonight Show Starring Jimmy Fallon,2014,16+,7.3,N/A
7,The Firm,2012,16+,7.0,39%
8,Family Matters,1989,all,6.5,N/A
9,The Fades,2011,18+,7.8,N/A
10,The Voice,2011,7+,6.5,N/A
11,Fixer Upper,2013,all,8.3,N/A
12,Garfield and Friends,1988,7+,7.3,N/A
13,Mr. Pickles,2014,18+,7.3,N/A
14,Jeopardy!,1964,all,8.2,N/A
15,America's Funniest Home Videos,1989,7+,6.2,N/A
16,Boys Over Flowers,2009,16+,8.0,N/A
17,Fate/stay night [Unlimited Blade Works],2014,18+,8.0,N/A
18,Kojak,1973,16+,7.1,N/A
19,Star,2016,16+,6.6,N/A
20,The Guardian,2001,7+,7.4,N/A
21,Maid Sama!,2010,16+,8.0,N/A
22,McLeod's Daughters,2001,16+,7.2,N/A
23,Lupin the Third,1971,16+,7.9,N/A
24,The Marvelous Misadventures of Flapjack,2008,7+,7.8,N/A
25,Log Horizon,2013,16+,7.7,N/A
26,The Cool Kids,2018,16+,6.9,65%
27,Second Chance,2016,16+,7.5,N/A
28,The Pink Panther Show,1964,all,7.6,N/A
29,What's Wrong with Secretary Kim,2018,all,8.1,N/A
30,Four Weddings and a Funeral,2019,N/A,7.1,43%
31,Fast N' Loud,2012,16+,7.5,N/A
32,The Carmichael Show,2015,7+,7.6,86%
33,Shots Fired,2017,16+,6.4,84%
34,Harrow,2018,N/A,7.6,N/A
35,"Diners, Drive-Ins and Dives",2007,all,7.3,N/A
36,New Tricks,2003,16+,7.8,N/A
37,False Flag,2015,N/A,7.8,N/A
38,Land of Honor,2014,16+,7.9,N/A
39,24: Legacy,2017,16+,6.2,59%
40,A.N.T. Farm,2011,all,5.0,N/A
41,Banished,2015,18+,7.4,N/A
42,Tyler Perry's The Haves and the Have Nots,2013,N/A,6.0,N/A
43,K.C. Undercover,2015,all,6.1,N/A
44,Doug,1991,all,7.4,N/A
45,Shiki,2010,18+,7.7,N/A
46,Wolfblood,2013,7+,7.7,N/A
47,Dark Shadows,1966,7+,7.5,N/A
48,How It's Made,2001,all,7.8,N/A
49,Ghosted,2017,7+,6.2,59%
0,Detroit 1-8-7,2010,16+,7.6,83%
1,Samantha Who?,2007,7+,7.3,77%
2,Real Humans,2012,16+,7.9,N/A
3,Little Britain,2003,18+,7.6,N/A
4,Blue Exorcist,2011,16+,7.5,N/A
5,Life Below Zero,2013,7+,8.0,N/A
6,Moone Boy,2012,16+,8.1,N/A
7,Unsolved Mysteries,1987,7+,8.3,N/A
8,T@gged,2016,16+,7.3,N/A
9,Being Erica,2009,16+,7.5,N/A
10,World of Dance,2017,7+,7.1,N/A
11,Coronation Street,1960,7+,5.5,N/A
12,Ranma ½,1989,16+,7.9,N/A
13,Fate/stay night,2006,18+,7.4,N/A
14,House Hunters,1999,all,8.2,N/A
15,The Bob Newhart Show,1972,all,8.1,N/A
16,Spy,2011,7+,7.9,100%
17,The Practice,1997,16+,7.7,N/A
18,American Pickers,2010,7+,7.0,N/A
19,Medium,2005,16+,6.9,N/A
20,mixed-ish,2019,7+,6.2,80%
21,The Secret Life of the American Teenager,2008,16+,4.9,N/A
22,Deputy,2020,16+,6.1,40%
23,The PJs,1999,16+,6.6,N/A
24,Married at First Sight,2014,16+,6.3,N/A
25,American Ninja Warrior,2009,7+,6.8,N/A
26,Shut Eye,2016,18+,7.4,43%
27,Oh My Venus,2015,N/A,7.8,N/A
28,Sailor Moon Crystal,2014,16+,7.9,N/A
29,Running Wild with Bear Grylls,2014,7+,7.7,N/A
30,Chowder,2007,7+,7.3,N/A
31,Yu-Gi-Oh!,1998,N/A,7.9,N/A
32,Thief,2006,18+,7.5,81%
33,Nightwatch,2015,16+,8.9,N/A
34,Bluestone 42,2013,16+,8.0,N/A
35,Snow White with the Red Hair,2015,16+,7.8,N/A
36,The Three Stooges,1934,all,8.6,N/A
37,Speechless,2016,7+,7.6,N/A
38,The Mary Tyler Moore Show,1970,7+,8.1,N/A
